"docid","sentid","sentiment","count"
1,9,"negative",202
1,10,"positive",1179
2,9,"negative",166
2,10,"positive",337
3,9,"negative",276
3,10,"positive",1175
4,9,"negative",243
4,10,"positive",1276
5,9,"negative",255
5,10,"positive",1323
7,9,"negative",57
7,10,"positive",2
8,9,"negative",808
8,10,"positive",1346
9,9,"negative",29049
9,10,"positive",47466
10,9,"negative",8
10,10,"positive",25
